 countyName, cityName, HotelCode, HotelName, HotelRating
Greece,Platys Gialos,1512769,Katerina Studios Mykonos,5
United States,Myrtle Beach    South Carolina,5478277,Ocean Green Cottage #9694 2nd Row & Beyond,3
Italy,La Spezia,1493695,B&B La Corte di Palazzo Picedi Benettini,1
Spain,Mataro,5130707,Matarolux 8,3
Tunisia,Sidi Bou Said,5179203,La Maison De L'artiste,4
Greece,Faliraki,1048017,Falirala Central,2
United Kingdom,Kirkby Stephen,5378242,Street Farm,5
Germany,Grömitz,5603222,Seaside #54982,5
Australia,Wodonga    Victoria,1522572,Warrina Motor Inn,3
Italy,Trevi,1349453,Trevi Hotel,2
United Kingdom,Pwllheli,5414081,Beudy'r March,5
Germany,Usedom,1566169,Hotel Ratscafe Ückeritz,5
Thailand,Buriram,1752269,Jasmine Resort,2
United Kingdom,Keswick,5635239,River Cottage,4
Czech Republic,Svoboda nad Upou,1198770,Hotel Prom,3
Spain,Las Palmas,1360899,Hotel Blanca Paloma,2
South Africa,Kwazulu Natal,5306517,Guest House Woodridge Forest 11,5
Philippines,Cavite,5709543,End Unit Condo At Wind By R&m,3
Austria,Oetztal,5858751,Alps 3000 2,5
Portugal,Lagos,5431615,Infante Guesthouse,5
Italy,Venosa,5442503,La Casa del Largo,5
Spain,Tias,1147824,Bitacora Lanzarote Club,2
Malaysia,Petaling Jaya,1680782,New World Petaling Jaya,5
Ireland(Republic of),Wexford,5461420,Upton Court Holiday Homes,3
Japan,Ishikawa,1088592,Daiwa Roynet Hotel Kanazawa,3
United States,Columbus    Indiana,1263534,Knights Inn Seymour In,2
Dominican Republic,Bávaro,5978852,Oceanfront Apartment Turquesa A201,5
United States,Hilton Head Island    South Carolina,5223776,Seawatch at Island Club,3
Switzerland,Villars / Ollon,1533059,Apartment Ambassadeur 15,3
South Korea,Pusan,1559616,Hotel MU,3
Australia,Mornington    Victoria,1373478,Balnarring Village Motor Inn,3
Jamaica,Montego Bay,1822424,Green Oasis Townhouse,3
United States,Houston    Texas,5003084,STAYBRIDGE SUITES HOUSTON - GALLERIA AREA,3
Australia,Manly    New South Wales,5643779,Grande Esplanade Studio,4
Netherlands,Alkmaar,5485420,Backyard,5
Germany,Hechingen,1081291,Hotel Gasthof Mohren,5
Japan,Gifu,1403465,Hodakaso Yamano Hotel,3
Thailand,Chonburi,1808665,Jodee's House,3
South Africa,Paternoster,5765402,Kapokbossie Holiday Home,5
United States,Corolla    North Carolina,5856735,Nauti Buoys,5
Germany,Baden-Baden,5254095,Ferienwohnung Baden Baden,5
Australia,Nuriootpa    South Australia,1459148,Barossa Gateway Motel,3
Thailand,Chonburi,5168323,Laguna Bay 1 Condo by GrandisVillas,3
United States,Pleasanton    California,1237349,Best Western Plus Pleasanton Inn,2
Brazil,Governador Valadares,1532281,Ibituruna Center Hotel,3
Philippines,Bohol,5497960,Jack's Villas and Residence 2,2
Brazil,Maringá,1717478,Hotel Maringa,5
Mexico,Papantla,1233667,Best Western Hotel Poza Rica,2
France,Reims,5750453,Appartement BarbÂtre,2
France,Pernes Les Fontaines,1647459,B&b Temps Suspendu Provence,5
Germany,Stralsund,1370659,Hotel am Stadtwald,5
Austria,Salzburg,1526558,Jugendherberge / Junges Hotel Salzburg-Haunspergstraße,5
France,Tregunc,5635216,Ferienhaus Tregunc 101s,3
United Kingdom,Dulnain Bridge,1636319,Bydand Bed and Breakfast,4
Spain,Sant Josep de sa Talaia,1357148,THB Ocean Beach,4
Barbados,Christ Church,1473115,Carib Blue Apartments,3
Netherlands,De Koog,1019347,Kustpark Texel,3
Italy,St. Vigil in Enneberg,1882948,Luch Da Morgnun,5
Australia,Gosford    New South Wales,1782731,Blue Gum Cottage on Bay,5
United States,Homer    Alaska,1153340,Best Western Bidarka Inn,2
United States,New Philadelphia    Ohio,1228320,Country Inn & Suites by Radisson Dover OH,3
United Kingdom,Staffordshire,1384757,Netherstowe House Hotel,4
Spain,Pontevedra,5564563,House In Bueu Galicia 100117,5
Italy,San Michele al Tagliamento,6059207,Residenza Leo,5
Italy,Belpasso,1355464,Azienda Castellano,3
Italy,Gaiole,1831803,Lodge Ricavo Con Piscina Panoramica,2
Italy,Lecce,1340362,Leccesalento Bed And Breakfast,3
Germany,Hamburg,5203894,Gastezimmer Auf St. Pauli,5
Finland,Helsinki,6114360,Roost Vuori 8,3
United Kingdom,Strathpeffer,5194468,Spruce Lodge,3
United States,Buffalo    New York,1644606,Oscars Bed & Breakfast,3
Brazil,Joinville,1645501,Hotel Palugi,2
Italy,Desenzano del Garda,5381486,Typical Garda House Lake View,5
Japan,Tsuruoka,5439759,Hotel Manko en,3
United States,Santa Rosa    Florida,1685521,Palm Grove at Sago Sands,3
India,Amritsar    Punjab,1511674,Hotel Krishna Residency,3
Italy,Arezzo,1070963,Hotel La Toscanina,3
Croatia,Visnjan,5594966,Villa In Visnjan With Tenniscourt,5
United States,Orlando    Florida,5920110,1653St,5
Germany,Köthen,1375346,Gasthof RhÖnperle,5
Germany,Bad Birnbach,1099398,Hotel Sternsteinhof,3
Austria,Altenmarkt,1527651,Landgasthof Alpenblick,3
Hungary,Makó,5646984,Csipke Apartman,5
United States,Wheatland    Wyoming,1326423,Best Western Torchlite,2
United States,Kalamazoo    Michigan,1105777,Country Inn & Suites by Radisson Kalamazoo MI,3
Peru,Lima,1677532,Illa Peru Apartments,3
Germany,Muenster,1134447,Appartement Haardblick,5
Spain,Cazalla de la Sierra,1220555,El Palacio de San Benito,5
Denmark,Lokken,5530059,Holiday home in Løkken 16,5
Argentina,Rosario,6035381,Altos de Barrio Martin,5
Philippines,Manila,5393068,Pbyy Condo Rental at Green Residences,2
Spain,Seville,5332739,Serva La Bari Studio,3
Sweden,Halmstad,1601227,First Camp Tylösand,3
United States,St. Louis    Missouri,1227417,Courtyard St. Louis Westport Plaza,3
Nigeria,Lagos,1613587,Jabita Intercontinental Hotel,3
South Africa,Johannesburg,1358829,Sentinel Executive Apartment,3
Russian Federation,Odintsovo,5264147,Apartmenty Uyut Zhulebino,4
Philippines,Malay,1079429,Asya Premier Suites Boracay,4
United States,Myrtle Beach    South Carolina,1340759,Sleep Inn & Suites,2
Brazil,Praia do Forte,1016941,Pousada Montreux,3
Australia,Cairns    Queensland,1506635,Cairns Beach Holiday Apartment,4
Philippines,Manila,1446302,The Studio 18 Residences,2
Cambodia,Siem Reap,1244472,Angkor Riviera Hotel,3
Netherlands,Utrecht,1604248,City Hotel Koningsvlinder,5
Australia,Bargara    Queensland,1274333,Don Pancho Beach Resort,3
Australia,Adelaide    South Australia,1640689,The Sands Motel,5
United States,Kissimmee    Florida,1252151,Staybridge Royale Parc Suites,3
United States,South Lake Tahoe    California,1499727,The Coachman Hotel,3
India,Canacona,6188059,Om ganesha guest house 2,5
Spain,Alicante,5718308,Apartamento CÉntrico Y CÓmodo,3
Italy,Gubbio,1205999,Abadia Farneto,1
Italy,Peschici,1790229,Gli Orti Di Malva B&B,5
New Zealand,Masterton,5734985,Fallow Hut,5
Spain,Setcases,1591350,La Cabanya,3
Colombia,Tunja,1454946,Hotel Tobacá,3
Japan,Iriomote Jima Island,1711625,Minshuku Sawayakaso,2
Canada,British Columbia,1204672,Moby Dick Inn,2
China,Ningde,1725217,HaiYue Hotel,5
Switzerland,Bagnes,5603963,Trolles Rez 6,3
France,Molsheim,1301399,Hotel Le Bugatti,3
Peru,Chiclayo,1404352,Hotel Mochiks,3
Spain,Llancà,6125817,Sant Carles 3,3
United Kingdom,Stornoway,1794881,Lathamor,3
United Kingdom,Manchester,1325835,Blue Rainbow ApartHotels Manchester Central,5
South Africa,Johannesburg,5590006,The Willows At Or Tambo,3
Canada,Toronto    Ontario,5248165,Applewood Suites Ent. District Studio,3
United Kingdom,Cumbria,1790714,Rock House,5
Malaysia,Kuala Lumpur,1662435,Oriental Heritage House,2
Germany,Herten,1279393,Hotel Alt Westerholt,4
Austria,Krimml,1525840,Ferienwohnung Trattenhaus,5
France,Villers-sur-Mer,6061918,Le Village de la Plage,5
Spain,Conil / Conil de la Frontera,5775113,Atico Centro Conil,5
United States,Houston    Texas,1249145,Extended Stay America Houston Willowbrook HWY 249,2
Italy,Turin,1917832,Il Ghirovago,2
Italy,Rimini,1868999,Residence Villa Gori,5
United States,Milwaukee    Wisconsin,1237062,Wyndham Garden Kenosha Harborside,3
Thailand,Phuket,1067305,Phuket Merlin Hotel,4
Brazil,Praia do Forte,1896978,Madalena Apart,5
France,Blagnac,1783034,NH Toulouse Airport,4
United States,Orlando    Florida,5371015,Reunion Holiday Escape Ten Bedroom Home,4
France,Pouillenay,1402320,Sarl Macarena,2
Spain,Benidorm,6168868,Great Apartment in Old Town,3
Italy,Lignano Sabbiadoro,1700493,Villa Quercia,5
Spain,Castello D'Empuries,5753591,Apartamento Blanca,5
Italy,Jesolo,1019513,Mayer,3
India,Indore    Madhya Pradesh,1097333,Hotel Crown Palace,3
Austria,St. Wolfgang,1141121,Seeböckenhotel Zum Weißen Hirschen,4
India,Mumbai    Maharashtra,1124666,Hotel Rana Residency,3
Russian Federation,Kaliningrad,1001219,Deima,2
Spain,Vera,5184797,Apartamento Venavera Playa Jardines D3 0B,3
Australia,Sydney    New South Wales,6093602,Spacious Woolloomooloo Apartment in Great Location,3
Brazil,Natal,1444617,New Dhunas Motel Adult Only,2
United States,Aiken    South Carolina,1234496,Country Inn & Suites by Radisson Aiken SC,2
New Zealand,Opunake,1473660,Headlands,4
Spain,Sant Cugat del Valles,1165254,AC Hotel Sant Cugat a Marriott Lifestyle Hotel,4
Italy,Castelnuovo del Garda,1028186,Hotel Gardaland Traslados,4
Dominican Republic,Constanza,5857259,Arroyo FrÍo River Lodge,5
Italy,Pula,1812276,Coru E Mari,5
Greece,Pella,1585567,Rouga,3
Switzerland,Davos,1310551,Hilton Garden Inn Davos,4
Brazil,Recife,1680742,Baía Branca Porto de Galinhas,3
Italy,Graniti,1619363,Tenuta Edoné Agriturismo,5
United Kingdom,Pitlochry,1494337,Port Na Craig Inn & Restaurant,4
Spain,Hondarribia,5645990,Villa Augusta,5
India,Candolim,5884892,Beautiful 1 Bhk At Alore Grande,5
Costa Rica,Limon,1422562,Rana Roja Lodge,2
France,Manigod,5391141,Chalet Morclan,4
Spain,Los Cristianos,1155379,Apartamentos Hg Cristian Sur,3
Laos,Luang Prabang,5304214,Pongkham Residence,3
South Korea,Incheon,1452596,Amare Hotel Jakjeon,3
France,Lyon,5513026,Dify Lovely Cordeliers,4
United Kingdom,Cromer,1415516,The Grove Cromer,4
United States,California    Maryland,5691716,Colombi Studios and Suites,5
Canada,Montreal    Quebec,1060481,Omni Hotel Mont Royal,4
United States,Corpus Christi    Texas,5799338,Five Dove Circle Home,5
Mexico,Oaxaca,5174594,Posada Regional,5
Greece,Thessaloniki,1311368,Agios Antonios,5
United States,Hilo    Hawaii,1640152,Greenwillmind B&B,5
United Kingdom,York,5452981,Old Orchard Cottage,4
Italy,Jesi,1072198,Mariani,3
Ecuador,Quito,5996293,Vinilo House & Grill,5
Austria,Alpbach,1295241,Hotel Zur Post,3
Italy,Forio (d'Ischia),1812585,Villa Andrea,3
Greece,Zakynthos,5721334,Holiday Home Deluxe Villa With Private Pool,4
Spain,Nerja,1122070,El Oasis de Capistrano,3
United States,Casper    Wyoming,1265725,MainStay Suites,2
Switzerland,Stein am Rhein,1216922,Hotel Restaurant Adler,3
Mauritius,Bel Ombre,5587522,Villa Serenite,5
Greece,Malia,1371793,Kings Village,2
Morocco,Asilah,1070794,Hotel Village Touristique Briech,2
South Africa,Umdloti,1378898,Umdloti Affordable Beach View,5
Japan,Narita,1050967,Narita Kikusui Hotel,3
Spain,Oviedo,1619930,Motel Cancun Oviedo,5
Argentina,Rosario,1191801,Plaza del Sol,4
Kenya,Malindi,1447663,Kivulini Luxury Resort,4
Italy,Nova Levante,5182485,Apartment Obkircher,5
Austria,Ried,1167000,Landhaus Gertrud,3
United States,Orlando    Florida,5195852,Encore Resort at Reunion 410 Lasso Drive,4
Ireland(Republic of),Dublin,1349215,Times Hostels - College,2
United States,Anderson    Indiana,1334932,Garden Hotel,3
Taiwan,Taitung,1498961,Wulas Dorm Backpackers,2
Canada,Saint-Faustin-Lac-Carré    Quebec,1697708,Chalet Loup Gris,4
Italy,Rome,1225988,Residence Europa,2
United Kingdom,Prestwick,5287016,Apartment Caerlaverock Road,5
Italy,Torre San Giovanni,1159122,Hyencos Hotel Callyon,4
Austria,Rust,5527194,Villa Katharina,4
United Kingdom,Scarborough,1452241,Admiral Guest House,3
Bulgaria,Tschepelare,1396476,Family Hotel Savov,2
China,Huangshan,1308255,Huangshan Xin'an Country Villa Hotel,3
United Kingdom,London,5756539,Eversholt Street,5
Italy,Calalzo di Cadore,1113754,Hotel Ferrovia,3
Croatia,Markovac,5547328,Villa Bea,5
Switzerland,Val-de-Travers,1317025,Hotel du Moulin,5
Brazil,Gramado,5548230,Recanto Das Aguias,5
Australia,Auburn,1652895,Lyreen's Apartment B&B,4
United States,Snowshoe    West Virginia,5558643,Shamrock 28,5
Argentina,Pinamar,6019661,mahilo Casa,5
Japan,Takasaki,1900530,Takasaki Kannonyama Onsen Kinzanso,3
Italy,Chieti,1088693,Villa Martina,5
Myanmar,Rangoon (Yangon),1408650,Royal White Elephant Hotel,3
France,Sarlat-la-Canéda,1882724,La Lanterne,5
France,Créteil,1298963,Campanile Creteil Centre,3
United Arab Emirates,Dubai,1368723,Jannah Place Dubai Marina,4
Australia,Swansea    Tasmania,1187967,Wagners Cottages,4
United States,Los Angeles    California,1086386,Executive Inn,2
Italy,San Michele al Tagliamento,1609215,Hotel Lily,3
Colombia,Barichara,1878872,Casa Mahanaim Barichara,3
United States,New York    New York,1105775,Radisson Hotel JFK Airport,3
Germany,Heiligendamm,5907747,Residenz von Flotow Wohnung 12,5
Australia,Melbourne    Victoria,1835932,Landing Pads Brunswick,2
Argentina,Buenos Aires,5608978,Penthouse Almagro Corazon De Buenos Aires,5
United States,Rangeley    North Carolina,5443022,Williamson,3
France,Marseille,5350357,Riad en Ville,5
South Korea,Kyongju,1866805,Sheel Motel,2
Greece,Paros,1130914,Minois Village,5
Ireland(Republic of),Dingle,1439850,Brownes Bed & Breakfast Dingle,4
Greece,Zakynthos,1359794,Sydney Greece,2
France,Saint Cyprien,1681288,Lagrange Grand Bleu Vacances Camping Le Bosc,4
Japan,Yamanakako,1764106,Sundance Resort Yamanakako,3
India,Goa    GOA,1091883,Hotel Ashirwad,2
Sweden,Kalix,1351819,STF Kalix Vandrarhem,5
France,Ollioules,5464180,Holiday Home Vieux Village,5
Netherlands,The Hague,1561857,Luxury Apartments Delft Iii Flower Market,4
Spain,Pontevedra,5987804,Casa Combarro,5
South Africa,Kwazulu Natal,5687374,Saints View 417,5
United Kingdom,Cornwall,6026187,Fistral Cottage,5
Germany,Arrach,1188794,Aschenbrenner Maria,5
Italy,Como,1383875,Golf Hotel La Pinetina,3
Australia,Cowes    Victoria,1515707,The Avenue Apartments,4
France,Arles,5377097,Rue des jardins de Lucas,1
Ireland(Republic of),Wicklow,1678632,Clone House,4
Italy,Porto Ercole,1873004,Bea Guest House,5
Argentina,Cordoba,5450638,Duplex La Delfina,5
Italy,Treviso,1323665,Hotel Mezzaluna,3
Guadeloupe,Pointe-Noire,1459369,West Indies Cottage,3
United States,Orange Beach    Alabama,5510330,Windward Pointe 704,5
United States,Marco Island    Florida,5448896,San Marco Villas U 3,5
United States,Charleston    South Carolina,5852005,4006 Hartnett Boulevard,5
Spain,Barcelona,1315340,Barcelona Apartment Villarroel,3
Spain,Isla Canela,5624275,Isla Canela Tours Espigón,5
South Africa,Johannesburg,1706738,Nthateng B&B,3
India,Somnath    Gujarat,1492367,The Fern Residency Hotel,4
India,Bhubaneswar    Odisha,1383462,Hotel Sambit Palace,2
Italy,Venice,1044691,Art Flashpackers Venice,3
Russian Federation,Volgograd,1368790,Stalingrad Hotel,3
Canada,Weyburn    Saskatchewan,1430650,Perfect Inns & Suites,2
United States,Tulsa    Oklahoma,1188736,Holiday Inn Express Tulsa South Bixby,2
Switzerland,Habkern,5571547,Ferienwohnung Käch,3
Japan,Ishikawa,1448117,Shaq Bighouse,1
Ukraine,Mykulytschyn,5298236,Ski Xata,5
Germany,Reuterstadt Stavenhagen,1016523,Hotel Reutereiche,3
Taiwan,Pingtung,1759409,Huang Xing Boutique Hotel,5
United States,San Luis Obispo    California,1153485,Shore Cliff Inn,3
United States,Madeira Beach    Florida,5340373,Las Brisas Condo 306,3
Sweden,Sollentuna,1049611,Scandic Star Sollentuna,3
Germany,Augsburg,1289513,Villa Arborea,3
United Kingdom,London,1156226,Travelodge London Covent Garden,3
Spain,Mieres,1658418,Casas de Aldea La Vallicuerra,3
Germany,Willingen,1242682,Waldecker Hof,5
Canada,Shawinigan    Quebec,5496583,Chalet Le Sainte Flore,5
India,Madurai    Tamil Nadu,1130252,Kadambavanam Ethnic Village Resort,3
Sweden,Söderköping,1600595,Skeppsdockans Vandrarhem,1
Argentina,Mendoza,6037240,Tierra de Olivos,5
United States,Carlsbad    California,1168502,Hyland Inn Near Legoland,2
United Kingdom,Minehead,1589012,The Exmoor Forest Inn,4
Italy,Vasto,5355598,Casa Vacanze Fattoria Pozzitello,5
Italy,Savona,1142036,Continental,3
United States,Battle Ground    Washington,1228760,Best Western Plus Battle Ground Inn & Suites,2
Italy,Toblach,1288010,Hotel Gratschwirt,3
Italy,Perugia,1247214,Giotto Luxury Country House,3
Austria,Schwaz,1779841,Haus Waldheim,5
Japan,Atami,1506823,Geihinkan Atami Koarashitei,3
South Korea,Seoul,1419645,Hotel Chocolate,3
India,Pune    Maharashtra,1452312,OYO Rooms Hadapsar,3
India,Bangalore    Karnataka,6188205,Omicron Service Apartment Manyata Tech Park,5
Italy,Matera,1812299,Affittacamere Da Mary,2
United Kingdom,Keswick,1088442,The Ravensworth Hotel,4
Italy,Cagliari,1597402,B&B Nell'Azzurro,5
United States,Mammoth Lakes    California,5256344,Wild Rose 13 2 Bathrooms Condo,5
Sri Lanka,Kelaniya,1265154,Hotel Clarion,3
Germany,Lindau,5441049,Veh Studios,3
Belgium,Ghent,5597250,Citytripgent Apartment,5
Italy,Augusta,5507786,House With in Costa Saracena Castelluccio With Wonderful,5
Spain,Gran Canaria,5924224,Nicholas Las Palmas Penthouse,5
Brazil,Caldas Novas,1383666,Lacqua diRoma,5
Italy,Spello,5212672,Villetta Madonna Della Stella,5
France,Aix-en-Provence,1845907,La Garenne,5
South Africa,Somerset West,1106744,Ruxmian Lodge,3
China,Changsha,1299054,Dolton International Hotel Changsha,5
Ecuador,Canoa,1566398,Hotel Mediterraneo,5
Finland,Kittilä,1015309,Villa Armas,5
Australia,Sydney    New South Wales,1196537,Ibis budget Casula Liverpool,2
Greece,Rhodes,1382044,Blue Sea Villa,3
China,Yangjiang,1379670,Hualuxe Yangjiang City Center,4
Peru,Paracas,1453413,Bamboo Lodge Paracas,3
United States,Conroe    Texas,1199864,La Quinta Inn & Suites Woodlands Northwest,2
Malta,Gzira,1633946,The White House,3
China,Kaili,1466252,Kaili Longdu Jingyi International Hotel,5
United Kingdom,Devon,1459791,Amberley Bed and Breakfast,3
Australia,Thursday Island    Queensland,1521116,Island Villas,4
Tanzania,Jambiani,5962717,Moringe Home Stay Village House,5
Canada,Dawson City    Yukon,1177234,Triple J Hotel,3
United States,Corpus Christi    Texas,5359107,6877 State Highway 361 Condo Unit 26,5
Sweden,Skara,1347844,Skara Stadshotell Sweden Hotels,3
United States,Orlando    Florida,1424092,Ramada Plaza Resort Orlando,3
India,Kochi,1127437,IMA House,3
Italy,Montespertoli,1693422,Il Chiantico,3
Belgium,Lokeren,1395053,Hotel La Barakka,3
Mexico,Chapala,1870542,Hotel Boutique Posada San Ángel,5
Thailand,Chonburi,1394271,Veranda Resort Pattaya MGallery by Sofitel,5
United States,Glen Allen    Virginia,1278563,TownePlace Suites Richmond,2
Greece,Aspróvalta,1931165,Ippokampos Resort,5
France,Nitry,1401287,Hôtel De La Beursaudiere,1
United States,Reinholds    Pennsylvania,1679115,Frush Farm Bed & Breakfast,3
United Kingdom,Exeter,5442074,Broad Ash Lodge,4
Italy,Arzachena,1568717,Hotel Grazia Deledda,3
Greece,Zakynthos,1658171,Limneon Villas,4
South Korea,Gangwon-do,1462947,Happy Forest Pension,2
United Kingdom,Cornwall,1820617,Chy Vista B&B,4
United States,Mountain Village    Colorado,5467510,Terraces 1401,5
United States,Los Angeles    California,1178507,Fairfield Inn & Suites Los Angeles West Covina,2
Albania,Dhërmi,1714395,Mehilli Hotel,5
South Korea,Seoul,1683611,Roadhouse Shinchon Hostel,3
Chile,Vina del Mar,1537308,Las Pircas De Olmue,5
Colombia,Medellin,5704550,Villa Lucy,2
Italy,Rimini,1008299,Merkury Hotel,3
China,Chungking (Chongqing),1440243,Chongqing Zilaike Hotel Jiefangbei Branch,2
Germany,Aichhalden,1213917,Gasthaus Pflug,5
Malaysia,Kajang,5231733,KV Homestay Kajang,3
France,Cazaubon,1322819,Hotel Aubergade,2
Brazil,Montes Claros,1585728,Hotel Amsterdam Montes Claros,3
Germany,Berlin,1156144,"Hotel Luc, Autograph Collection",5
France,Beziers,6147402,Apartment With one Bedroom in Agde - 100 m From the Beach,5
Thailand,Chachoengsao,1858684,Sirapa Resident Aparthotel,5
Brazil,Ilhabela,1715961,Hostel Maria Bonita Ilhabela,5
France,Pommard,5720102,Charmot De Pommard,5
Germany,Gohrisch,6049858,Ferienwohnung Katzsteinblick,5
Ireland(Republic of),Westport,6110362,The White House,3
France,Vence,1218811,Le Floreal,3
Italy,San Giovanni,5383130,Apartments & Wellness Lofflerblick,5
United States,Daytona Beach    Florida,1685271,4604K Beachside Splendor,5
United Kingdom,Durham,1860758,Sea View Guest House,5
United Kingdom,Staffordshire,1794608,Middle Farm Bed and Breakfast,3
Austria,Jochberg,1643780,Gasthof Waldwirt,5
India,Mussoorie    Uttarakhand,1509195,Hotel Palazzo Mussoorie,3
Australia,Sydney    New South Wales,1181144,The Fullerton Hotel Sydney,5
Romania,Maliuc,5603428,Coliba Vanatorilor,3
United Kingdom,Isle of Wight,5966966,67 Sandown Bay Holiday Centre,5
Italy,Taormina,1040992,Casa Rupilio,1
Germany,Grömitz,1072786,Hotel Strandidyll,4
Russian Federation,Jaroslawl,1479217,Dostoevskiy Hotel,3
Portugal,Algarvia,1139256,Pure Monchique Hotel - by Unlock Hotels,4
Spain,Guadarrama,1615253,Hostal González,2
France,Nizza (Nice),5165643,Sea View Terrace Penthouse Prestige by Nestor&Jeeves,5
Ecuador,Quito,1423170,Ecuador View Inn,3
United States,Twentynine Palms    California,1630259,Pioneertown Motel,3
Colombia,Girardot,5796609,Casa Vacacional En Flandes Tolima,5
Spain,San Bartolomé de Tirajana,1617140,Casa Elisa Canarias,2
United States,Orleans    Massachusetts,5589747,Beach Rose Guest Studio,5
Italy,Arqua Petrarca,1240493,Holiday House Petrarca,5
Germany,Neuwied,1894167,Hotel Imota,3
Austria,Leutasch,1499615,Pension Margret,5
Brazil,Maresias,5797059,Linda Casa Em Juquehy,5
United States,Gulf Shores    Alabama,5658948,Crystal Shores 1201,5
Austria,Fulpmes,1259586,Alte Post,3
Indonesia,Bali,1026055,Guest House Kudos,3
Egypt,Quseir,1374338,Novotel Marsa Alam,4
Germany,Ettlingen,1211606,Stadthotel Engel,5
India,Bangalore    Karnataka,1372100,Elegant Guest House,3
Thailand,Hua Hin,1606633,Seajays Resort,2
Sweden,Nässjö,5684215,Barkeryd Norrtorpet,5
Austria,Mittelberg,1643633,Alp Chalet,3
Mexico,Isla Holbox,1551037,La Chaya Holbox,3
Brazil,Itapema,1640421,Hotel Pousada Esmeralda,5
Thailand,Kanchanaburi,1496152,Sam's House,3
Italy,Völs on Schlern,1419390,Garni Mitterstieler,3
France,Condé-Northen,5451488,Les Chambres de la Nied,5
New Zealand,Whitianga,1747564,Nana Glads Beachfront Accommodation Whitianga,5
United States,Lahaina    Hawaii,5457626,Papakea #l207,3
Austria,Vienna,5188639,CheckVienna Apartment Inzersdorferstrasse,2
India,Goa    GOA,1662405,Shantie Shakthi,3
United Kingdom,Kent,1322755,Travelodge Tunbridge Wells,3
Spain,Santa Cruz de Tenerife,1150830,Hotel Benahoare,3
France,Disneyland Paris,5240654,Les Venvolles,5
Spain,Can Picafort,5710994,Sa Marina,5
United Kingdom,Kendal,5416335,Wilson's Cottage,3
Dominican Republic,Playa Bavaro,1899966,The Level at Melia Punta Cana Beach Adults Only All Inclusive,5
South Korea,Busan,1668093,K Guesthouse Seomyeon 1,2
United States,Clermont    Florida,5348974,Glenbrooke by Fairytale VR,3
Spain,Arnedillo,5434576,Casita De Noah,3
Ireland(Republic of),Athlone,1635682,Inny Bay B&B,3
Denmark,Gudhjem,1395783,Hotel Klippen,3
Spain,Teguise,1237746,Teguisol,3
Germany,Timmendorf Beach,5656989,Ferienwohnung Elegance,5
Italy,Milan,1142204,Hotel de la Ville,4
Italy,Zone,1649829,B&B Padò Immersi nella natura,5
Italy,Torre del Lago,1779715,Casa Simonetti,5
Spain,Cordoba,1342739,Las Casas De La Juderia,4
Japan,Saitama-shi,1794038,Kikusuitei,3
Brazil,São Miguel dos Milagres,1257949,Pousada do Toque,5
Spain,Tarragona,5536502,Apartamento Merceria Tarragona,5
Taiwan,Taipei,1362141,Emperor Hotel,3
Spain,Salou,5570506,Uhc Jazmin Apartment,5
Thailand,Chiang Mai,1460635,Ganesha House,3
Mexico,Merida,1345517,Hotel Colon,2
Spain,La Alcaidesa,5624046,The Links 2226,5
United States,Los Angeles    California,1544993,1 Hotel West Hollywood,5
Israel,Gonen,5505266,Aviv Bakerem,5
Netherlands,Oss,1593240,De Oude Pastorie Macharen,3
Cambodia,Koh Rong Sanloem,1744115,Longvek Hostel,5
Switzerland,Davos-Platz,1303200,Esplanade Swiss Quality Hotel,3
Germany,Munich,1042052,Eden Hotel Wolff,5
Germany,Grömitz,5343791,Strandleben 1,5
Chile,Santiago,5650136,Apartment 209,5
China,Shantou,1478458,Jinjiang Inn Shantou Convention Center,1
Germany,Karlshagen,5703749,Lotsenstieg 13b,5
United States,Davenport    Florida,5502385,Ov3868 Hampton Lakes 5 Bed 3 Baths Townhome,3
Greece,Lardos,1145889,smartline Ellia,4
Andorra,Erts,5920906,Borda Cremat,5
Spain,Tinajo,1925022,Villa Aradri,4
Italy,Sorrent,1521011,Piazza Tasso,2
Spain,Boí,5210187,Hostal Carme Pascual,2
Brazil,Caldas Novas,5575382,L'acqua DiRoma IV Flat 360,5
Germany,Bad Wildungen,1089813,Göbel's Hotel AquaVita,4
United States,Denver    Colorado,5000758,Homewood Suites by Hilton Denver Airport Tower Road,3
United Kingdom,Devon,5888695,Clematis Cottage,4
United States,New York    New York,1158841,Holiday Inn Manhattan 6th Ave Chelsea,3
Mexico,Puebla,1550775,Hotel Star Express,4
United States,Fenton    Missouri,1308825,Motel 6 Fenton MO,3
United Kingdom,Ilfracombe,5244585,Jellicoe Ilfracombe,4
South Korea,Seoul,1912325,Bounce Guesthouse Hongdae,1
Norway,Vesteralen,1576836,Littleisland Lighthouse,5
Taiwan,Tainan,1827904,England Bungalow,3
Thailand,Chiang Khan,1888633,Baan Kru Tum Chiang Khan,5
New Zealand,Punakaiki,1173671,The Rocks Homestay,3
Japan,Izu,1597865,Yagyu No Sho,5
Sri Lanka,Mirissa,1488778,Family Guest House,5
Panama,Isla Grande,1756389,Macondo Hostel,5
Guatemala,Antigua,1460286,Posada de San Carlos,3
Greece,Pythagorion,1166483,Paris Beach Hotel,2
South Africa,Modimolle,1628581,Abba Game Lodge,2
China,Zhengzhou,5789774,Thank Inn Chain Hotel Henan Zhengzhou Zhengxin Road East Side,2
France,Aranc,1297156,L Auberge d Aranc,3
